questionTitle,questionType,questionDescription,correctOptionNumbers,positiveMarks,negativeMarks,questionAnswerExplanation,questionOption1,questionOption2,questionOption3,questionOption4
Question 1,single-correct,Which component in Synapse is used for large-scale SQL-based data warehousing?,1,1,0,Dedicated SQL pools are designed for large-scale, high-performance data warehousing.,Dedicated SQL pool,Serverless SQL pool,Spark pool,Pipelines
Question 2,single-correct,Which Synapse component is primarily used for big data analytics using notebooks?,3,1,0,Spark pools provide distributed computing for data engineering and machine learning.,Dedicated SQL pool,Serverless SQL pool,Spark pool,Pipeline
Question 3,single-correct,Which Synapse feature orchestrates data movement and transformation?,4,1,0,Pipelines in Synapse orchestrate ETL/ELT workflows.,Dedicated SQL pool,Serverless SQL pool,Spark pool,Pipeline
Question 4,single-correct,Which of the following best describes a Serverless SQL pool in Synapse?,2,1,0,Serverless SQL pools allow querying data directly in the lake without pre-provisioned resources.,Requires provisioned resources,On-demand query service,Always running cluster,Machine learning runtime
Question 5,single-correct,Which of the following best describes a Dedicated SQL pool?,1,1,0,Dedicated SQL pools require provisioned compute resources for predictable performance.,Pre-provisioned compute resources,On-demand querying,Free tier storage,Unstructured storage only
Question 6,single-correct,Which command creates a new database in Synapse SQL?,1,1,0,The `CREATE DATABASE` statement is used to create a new database.,CREATE DATABASE dbname,CREATE TABLE dbname,NEW DATABASE dbname,MAKE DATABASE dbname
Question 7,single-correct,Which SQL object is used to provide a logical view of data without storing it?,3,1,0,Views are virtual tables that provide logical access to data.,Database,Table,View,Cluster
Question 8,single-correct,What is Microsoft Fabric’s main role in the data ecosystem?,4,1,0,Microsoft Fabric provides an end-to-end SaaS analytics platform for data integration, engineering, and BI.,Only storage solution,Only orchestration tool,Only query engine,Unified SaaS data and analytics platform
Question 9,single-correct,Which partitioning strategy divides data by ranges of values?,1,1,0,Range partitioning splits data based on ranges of column values.,Range partitioning,Hash partitioning,Round-robin,Replication
Question 10,single-correct,Which distribution strategy in Synapse ensures even spread of rows across nodes?,2,1,0,Hash distribution evenly spreads rows based on a key column.,Replication,Hash distribution,Range partitioning,Clustered index
Question 11,single-correct,Which Snowflake feature helps analyze query performance?,3,1,0,Query profiling in Snowflake provides execution details such as operators and timing.,Time Travel,Cloning,Query Profile,Data Sharing
Question 12,single-correct,Where can you find historical query execution details in Snowflake?,4,1,0,Query History shows logs of past executed queries.,Time Travel,Data Marketplace,Query Profiler,Query History
Question 13,single-correct,What does Airflow primarily provide for data engineering?,1,1,0,Airflow is used for scheduling and orchestrating workflows using DAGs.,Workflow orchestration,Data storage,Query engine,Machine learning
Question 14,single-correct,What is the basic building block of an Airflow workflow?,2,1,0,DAGs (Directed Acyclic Graphs) define tasks and their dependencies.,Pipeline,Directed Acyclic Graph (DAG),Node,Job
Question 15,single-correct,Which is a key advantage of Airflow?,3,1,0,Airflow provides extensibility with Python operators and a rich UI for monitoring workflows.,Provides storage,Provides SQL query engine,Provides extensible workflow management,Provides only data visualization
