SnapshotDate,StoreID,ProductID,OnHandQty,ReorderPoint
2025-04-01,1,165,98,37
2025-04-01,1,182,189,29
2025-04-01,1,246,153,30
2025-04-01,1,116,149,29
2025-04-01,1,215,81,34
2025-04-01,1,217,144,48
2025-04-01,1,138,160,27
2025-04-01,1,147,126,40
2025-04-01,1,8,173,23
2025-04-01,1,73,140,37
2025-04-01,1,181,139,29
2025-04-01,1,11,124,43
2025-04-01,1,62,159,51
2025-04-01,1,106,80,43
2025-04-01,1,100,119,32
2025-04-01,1,59,107,38
2025-04-01,1,206,130,38
2025-04-01,1,188,94,43
2025-04-01,1,225,117,34
2025-04-01,1,4,92,33
2025-04-01,1,175,136,48
2025-04-01,1,142,104,29
2025-04-01,1,56,93,50
2025-04-01,1,75,143,46
2025-04-01,1,14,120,52
2025-04-01,1,243,149,45
2025-04-01,1,119,143,34
2025-04-01,1,226,94,35
2025-04-01,1,89,154,35
2025-04-01,1,180,140,39
2025-04-01,1,16,149,31
2025-04-01,1,48,89,39
2025-04-01,1,102,125,38
2025-04-01,1,70,164,36
2025-04-01,1,22,87,54
2025-04-01,1,170,80,31
2025-04-01,1,131,165,45
2025-04-01,1,133,129,38
2025-04-01,1,239,90,40
2025-04-01,1,135,128,33
2025-04-01,1,186,106,39
2025-04-01,1,38,105,38
2025-04-01,1,110,113,31
2025-04-01,1,125,74,34
2025-04-01,1,105,141,38
2025-04-01,1,139,116,30
2025-04-01,1,71,140,33
2025-04-01,1,220,152,30
2025-04-01,1,196,126,47
2025-04-01,1,96,137,48
2025-04-01,1,218,127,34
2025-04-01,1,3,177,34
2025-04-01,1,44,122,34
2025-04-01,1,168,127,53
2025-04-01,1,247,118,30
2025-04-01,1,202,35,28
2025-04-01,1,46,112,35
2025-04-01,1,203,126,50
2025-04-01,1,187,166,33
2025-04-01,1,136,137,43
2025-04-01,1,63,185,38
2025-04-01,1,151,119,26
2025-04-01,1,17,70,34
2025-04-01,1,47,86,42
2025-04-01,1,129,111,34
2025-04-01,1,193,91,33
2025-04-01,1,183,71,24
2025-04-01,1,60,176,27
2025-04-01,1,248,128,38
2025-04-01,1,216,60,54
2025-04-01,1,204,74,34
2025-04-01,1,82,139,44
2025-04-01,1,1,85,44
2025-04-01,1,117,129,41
2025-04-01,1,113,170,46
2025-04-01,1,242,140,35
2025-04-01,1,164,101,42
2025-04-01,1,29,137,42
2025-04-01,1,34,118,48
2025-04-01,1,77,48,27
2025-04-01,2,164,94,44
2025-04-01,2,4,133,44
2025-04-01,2,225,86,44
2025-04-01,2,110,155,24
2025-04-01,2,103,167,50
2025-04-01,2,97,43,38
2025-04-01,2,154,93,51
2025-04-01,2,107,102,37
2025-04-01,2,112,80,35
2025-04-01,2,59,129,50
2025-04-01,2,177,111,44
2025-04-01,2,12,146,47
2025-04-01,2,22,164,36
2025-04-01,2,131,108,38
2025-04-01,2,169,104,46
2025-04-01,2,69,102,49
2025-04-01,2,184,160,68
2025-04-01,2,11,145,42
2025-04-01,2,109,105,41
2025-04-01,2,152,79,68
2025-04-01,2,226,113,46
2025-04-01,2,236,101,39
2025-04-01,2,150,130,45
2025-04-01,2,85,163,36
2025-04-01,2,89,102,43
2025-04-01,2,25,84,53
2025-04-01,2,92,177,55
2025-04-01,2,190,166,30
2025-04-01,2,247,74,34
2025-04-01,2,28,77,43
2025-04-01,2,141,62,50
2025-04-01,2,230,126,37
2025-04-01,2,122,118,41
2025-04-01,2,61,80,33
2025-04-01,2,29,166,49
2025-04-01,2,64,100,54
2025-04-01,2,118,108,33
2025-04-01,2,238,71,33
2025-04-01,2,126,111,44
2025-04-01,2,244,83,30
2025-04-01,2,39,90,40
2025-04-01,2,176,138,39
2025-04-01,2,210,62,47
2025-04-01,2,124,149,35
2025-04-01,2,24,159,35
2025-04-01,2,34,85,42
2025-04-01,2,113,110,44
2025-04-01,2,136,117,42
2025-04-01,2,32,173,40
2025-04-01,2,123,129,21
2025-04-01,2,193,154,39
2025-04-01,2,211,156,42
2025-04-01,2,8,125,31
2025-04-01,2,2,138,34
2025-04-01,2,171,111,32
2025-04-01,2,78,121,50
2025-04-01,2,21,124,47
2025-04-01,2,170,162,43
2025-04-01,2,143,101,40
2025-04-01,2,66,125,40
2025-04-01,2,197,123,40
2025-04-01,2,90,135,44
2025-04-01,2,221,137,59
2025-04-01,2,250,75,41
2025-04-01,2,74,82,29
2025-04-01,2,101,103,47
2025-04-01,2,162,170,49
2025-04-01,2,84,133,39
2025-04-01,2,249,138,48
2025-04-01,2,142,64,35
2025-04-01,2,106,122,46
2025-04-01,2,204,142,25
2025-04-01,2,168,108,52
2025-04-01,2,87,113,58
2025-04-01,2,55,135,35
2025-04-01,2,138,177,40
2025-04-01,2,35,121,48
2025-04-01,2,23,122,50
2025-04-01,2,41,137,43
2025-04-01,2,246,70,40
2025-04-01,3,214,151,48
2025-04-01,3,56,105,45
2025-04-01,3,29,150,33
2025-04-01,3,54,125,43
2025-04-01,3,212,190,45
2025-04-01,3,231,98,63
2025-04-01,3,57,136,53
2025-04-01,3,10,144,41
2025-04-01,3,159,180,18
2025-04-01,3,220,87,52
2025-04-01,3,4,97,25
2025-04-01,3,248,156,41
2025-04-01,3,11,92,48
2025-04-01,3,209,80,28
2025-04-01,3,177,82,51
2025-04-01,3,228,112,38
2025-04-01,3,27,163,41
2025-04-01,3,145,138,42
2025-04-01,3,93,118,49
2025-04-01,3,131,71,42
2025-04-01,3,34,159,52
2025-04-01,3,198,108,28
2025-04-01,3,22,91,51
2025-04-01,3,105,97,55
2025-04-01,3,88,88,36
2025-04-01,3,124,125,32
2025-04-01,3,81,124,45
2025-04-01,3,9,116,51
2025-04-01,3,72,93,44
2025-04-01,3,68,156,35
2025-04-01,3,87,196,44
2025-04-01,3,227,139,36
2025-04-01,3,182,104,43
2025-04-01,3,210,78,35
2025-04-01,3,111,169,42
2025-04-01,3,237,75,45
2025-04-01,3,176,86,33
2025-04-01,3,154,108,40
2025-04-01,3,135,152,41
2025-04-01,3,147,110,26
2025-04-01,3,103,125,46
2025-04-01,3,181,94,45
2025-04-01,3,79,100,38
2025-04-01,3,65,138,30
2025-04-01,3,59,73,41
2025-04-01,3,238,147,46
2025-04-01,3,235,130,33
2025-04-01,3,155,57,40
2025-04-01,3,187,120,30
2025-04-01,3,82,98,31
2025-04-01,3,45,45,40
2025-04-01,3,33,75,29
2025-04-01,3,115,93,21
2025-04-01,3,43,102,28
2025-04-01,3,91,107,40
2025-04-01,3,183,109,31
2025-04-01,3,39,117,29
2025-04-01,3,96,109,44
2025-04-01,3,110,115,43
2025-04-01,3,119,163,37
2025-04-01,3,184,120,49
2025-04-01,3,97,101,48
2025-04-01,3,144,104,29
2025-04-01,3,178,65,54
2025-04-01,3,95,110,21
2025-04-01,3,186,123,43
2025-04-01,3,224,163,23
2025-04-01,3,62,150,38
2025-04-01,3,26,94,43
2025-04-01,3,42,132,40
2025-04-01,3,219,135,36
2025-04-01,3,152,107,41
2025-04-01,3,40,127,42
2025-04-01,3,101,88,38
2025-04-01,3,74,114,45
2025-04-01,3,77,157,50
2025-04-01,3,84,144,41
2025-04-01,3,232,25,33
2025-04-01,3,185,99,42
2025-04-01,3,126,112,46
2025-04-01,4,43,68,47
2025-04-01,4,240,125,46
2025-04-01,4,182,87,33
2025-04-01,4,29,83,36
2025-04-01,4,203,85,57
2025-04-01,4,71,82,39
2025-04-01,4,161,118,41
2025-04-01,4,216,137,26
2025-04-01,4,108,135,52
2025-04-01,4,38,113,36
2025-04-01,4,69,82,43
2025-04-01,4,136,205,35
2025-04-01,4,231,44,49
2025-04-01,4,118,132,35
2025-04-01,4,5,105,29
2025-04-01,4,223,128,32
2025-04-01,4,54,160,33
2025-04-01,4,192,146,41
2025-04-01,4,66,139,46
2025-04-01,4,196,137,37
2025-04-01,4,17,85,38
2025-04-01,4,207,107,45
2025-04-01,4,250,136,49
2025-04-01,4,23,144,52
2025-04-01,4,200,161,32
2025-04-01,4,109,109,35
2025-04-01,4,126,115,42
2025-04-01,4,188,101,36
2025-04-01,4,147,143,28
2025-04-01,4,114,165,56
2025-04-01,4,221,131,46
2025-04-01,4,246,188,39
2025-04-01,4,218,119,28
2025-04-01,4,148,121,32
2025-04-01,4,249,113,42
2025-04-01,4,94,121,58
2025-04-01,4,235,56,39
2025-04-01,4,106,147,44
2025-04-01,4,199,62,44
2025-04-01,4,58,129,56
2025-04-01,4,24,143,44
