questionTitle,questionType,questionDescription,correctOptionNumbers,positiveMarks,negativeMarks,questionAnswerExplanation,questionOption1,questionOption2,questionOption3,questionOption4
Question 1,single-correct,Which concept combines the best of data lakes and data warehouses?,2,1,0,The Lakehouse combines low-cost storage with ACID transactions and analytics.,Data Mart,Lakehouse,Data Warehouse,Data Virtualization
Question 2,single-correct,Which of the following is NOT a Databricks workspace component?,4,1,0,Dashboards are outputs but not a core workspace component.,Repos,Jobs,Clusters,Dashboards
Question 3,single-correct,Which Databricks workspace component is used for source code version control?,1,1,0,Repos allow Git-based collaboration inside Databricks.,Repos,Jobs,Clusters,Data
Question 4,single-correct,Which type of cluster is suitable for ad-hoc analysis and notebooks?,1,1,0,All-purpose clusters are interactive and used for analysis.,All-purpose Cluster,Job Cluster,Streaming Cluster,SQL Cluster
Question 5,single-correct,Which type of cluster is created for scheduled jobs and then terminates automatically?,2,1,0,Job clusters are ephemeral and tied to one job run.,All-purpose Cluster,Job Cluster,Streaming Cluster,SQL Cluster
Question 6,single-correct,What does autoscaling in Databricks clusters do?,3,1,0,Autoscaling automatically adjusts the number of worker nodes.,Keeps clusters always running,Scales only storage,Adjusts number of workers based on load,Runs multiple clusters at once
Question 7,single-correct,Which languages are supported in Databricks notebooks?,4,1,0,Databricks supports Python, SQL, Scala, and R.,Only Python and SQL,Only Python and Scala,Python, SQL, Scala only,Python, SQL, Scala, R
Question 8,single-correct,What is the purpose of DBFS in Databricks?,1,1,0,Databricks File System provides distributed storage for cluster access.,Distributed file system for Databricks,SQL query engine,Data pipeline scheduler,Notebook execution engine
Question 9,single-correct,Which command mounts Azure Data Lake to Databricks?,3,1,0,dbutils.fs.mount() is used to mount ADLS.,adls.connect(),spark.mount(),dbutils.fs.mount(),fs.azure.mount()
Question 10,single-correct,Which file formats can Databricks read and write natively?,4,1,0,Databricks supports CSV, Parquet, and JSON among others.,CSV only,Parquet only,JSON only,CSV, Parquet, JSON
Question 11,single-correct,Which API is commonly used to work with structured data in Databricks?,2,1,0,Spark DataFrames provide structured APIs for data processing.,RDD API,Spark DataFrame API,SQL CLI,Notebook Widgets
Question 12,single-correct,Which Spark transformation returns a new DataFrame without changing the source?,1,1,0,Transformations like filter() and select() return new DataFrames.,Transformation,Action,Trigger,Mutation
Question 13,single-correct,In the Medallion Architecture, what is the role of the Bronze layer?,1,1,0,Bronze stores raw ingested data in original format.,Raw data ingestion,Curated data,Aggregated gold data,Archived data
Question 14,single-correct,In the Medallion Architecture, what is the Silver layer used for?,2,1,0,Silver layer stores cleaned and conformed data.,Raw ingestion,Cleansed and conformed data,Aggregated business-ready data,Temporary staging
Question 15,single-correct,Which layer in the Medallion Architecture is designed for analytics and reporting?,3,1,0,Gold layer contains aggregated, business-ready data for BI and ML.,Bronze,Silver,Gold,Archive
