questionTitle,questionType,questionDescription,correctOptionNumbers,positiveMarks,negativeMarks,questionAnswerExplanation,questionOption1,questionOption2,questionOption3,questionOption4
Question 1,single-correct,What is a key advantage of Snowflake's architecture?,1,1,0,Separation of compute and storage allows independent scaling and cost optimization.,Separation of compute and storage,Only supports structured data,Requires manual scaling of storage,No SQL support
Question 2,single-correct,Which component in Snowflake handles query processing?,2,1,0,Virtual warehouses perform query execution and computation.,Database,Virtual warehouse,Schema,Stage
Question 3,single-correct,Which statement best describes Snowflake databases?,3,1,0,Databases organize schemas and tables and separate storage logically.,They store only raw files,Snowflake has no database concept,Databases are virtual machines,They store user credentials
Question 4,single-correct,What is the difference between standard and transient tables?,1,1,0,Transient tables do not have fail-safe storage and are cheaper for temporary data.,Standard tables have no schema,Transient tables do not exist,Standard tables are encrypted only,Transient tables are external
Question 5,single-correct,Which file format is columnar and highly optimized for analytics?,3,1,0,Parquet stores columnar data efficiently for query performance.,CSV,JSON,Parquet,TXT
Question 6,single-correct,Which Snowflake command is used to load data from a stage into a table?,2,1,0,COPY INTO is the standard method to load staged data into tables.,INSERT INTO, COPY INTO, LOAD DATA, IMPORT TABLE
Question 7,single-correct,Which of these is a supported Snowflake internal stage?,1,1,0,User stage is automatically provided for each Snowflake user.,S3 bucket only,Azure Blob only,Google Drive,User stage
Question 8,single-correct,Which SQL command lists all tables in a schema?,3,1,0,SHOW TABLES lists tables within a schema.,LIST TABLES,DESCRIBE TABLES,SHOW TABLES,SELECT TABLES
Question 9,single-correct,What is Snowflake time travel used for?,2,1,0,Time travel allows querying historical data or restoring dropped tables.,Scaling virtual warehouses,Querying historical data,Managing users,Encrypting files
Question 10,single-correct,Which feature allows creating a copy of a table without duplicating storage?,4,1,0,Cloning enables zero-copy duplication of tables and databases.,Backup,Snapshot,Export,Clone
Question 11,single-correct,Which file format is ideal for semi-structured JSON data?,1,1,0,JSON format natively supports semi-structured hierarchical data.,JSON,CSV,Parquet,ORC
Question 12,single-correct,What is the purpose of separating compute from storage in Snowflake?,2,1,0,It allows independent scaling and cost management of queries and storage.,Improves backup speed only,Enables independent scaling and cost control,Increases network latency,Reduces security risks
Question 13,single-correct,Which table type should you use for temporary staging data with lower storage costs?,3,1,0,Transient tables avoid fail-safe charges and are suited for temporary data.,External tables,Standard tables,Transient tables,Materialized views
Question 14,single-correct,Which SQL clause is used to query only specific columns from a Snowflake table?,1,1,0,SELECT clause retrieves specified columns.,WHERE,FROM,JOIN,INSERT
Question 15,single-correct,Which Snowflake feature allows recovering data deleted within a retention period?,2,1,0,Time travel enables recovery of dropped or modified data within the retention window.,Cloning,Time travel,Stages,Virtual warehouses
